text,intent
write a python script to sort a list,CODING
generate a python function for binary search,CODING
create a python class for database connection,CODING
write a REST API endpoint in Flask,CODING
help me write a recursive function,CODING
code a web scraper in python,CODING
build a python decorator for logging,CODING
create a data pipeline script,CODING
write a python script to parse CSV files,CODING
generate code to connect to PostgreSQL,CODING
help me write an async function in python,CODING
create a microservice in FastAPI,CODING
write a bash script to automate deployment,CODING
code a linked list implementation,CODING
build a CLI tool in python,CODING
write code for file handling operations,CODING
generate a python module for API integration,CODING
create error handling middleware,CODING
write a unit test for my function,TESTING
create a test case for login functionality,TESTING
generate cypress test for the registration page,TESTING
write selenium automation script,TESTING
build a test suite for the checkout flow,TESTING
I need test cases for the search feature,TESTING
create automated tests for the dashboard,TESTING
write a pytest fixture for database testing,TESTING
generate integration tests for the payment API,TESTING
build cypress end-to-end tests,TESTING
help me write test assertions,TESTING
create a test plan for the mobile app,TESTING
write performance tests using locust,TESTING
generate load testing scripts,TESTING
automate regression testing,TESTING
create a BDD test scenario,TESTING
write a test harness for API endpoints,TESTING
build a test data generator,TESTING
create cypress custom commands,TESTING
write robot framework test cases,TESTING
help me with test coverage analysis,TESTING
help me reconcile trade data,DATA_RECONCILIATION
build a data reconciliation report,DATA_RECONCILIATION
create a PRISM framework reconciliation,DATA_RECONCILIATION
match source and target data sets,DATA_RECONCILIATION
find discrepancies between two databases,DATA_RECONCILIATION
reconcile position data across systems,DATA_RECONCILIATION
build a break resolution workflow,DATA_RECONCILIATION
create a data matching algorithm,DATA_RECONCILIATION
reconcile cash flows between front and back office,DATA_RECONCILIATION
identify mismatches in trade confirmations,DATA_RECONCILIATION
automate daily reconciliation process,DATA_RECONCILIATION
build a recon dashboard for exceptions,DATA_RECONCILIATION
match settlement records,DATA_RECONCILIATION
reconcile NAV calculations,DATA_RECONCILIATION
create a tolerance-based matching rule,DATA_RECONCILIATION
build an exception management system,DATA_RECONCILIATION
reconcile corporate actions data,DATA_RECONCILIATION
match counterparty confirmations,DATA_RECONCILIATION
calculate portfolio risk metrics,FINANCE
generate a PnL attribution report,FINANCE
build a VaR calculation model,FINANCE
create a risk dashboard for equity derivatives,FINANCE
compute mark-to-market valuations,FINANCE
analyze credit risk exposure,FINANCE
build a stress testing framework,FINANCE
calculate regulatory capital requirements,FINANCE
generate compliance reports,FINANCE
create a trade lifecycle tracker,FINANCE
build a margin calculation engine,FINANCE
compute counterparty credit risk,FINANCE
analyze market risk factors,FINANCE
create a financial data aggregation tool,FINANCE
build a position keeping system,FINANCE
generate ISDA documentation,FINANCE
compute swap valuations,FINANCE
calculate expected shortfall,FINANCE
write a marketing campaign email,MARKETING
create social media content strategy,MARKETING
generate SEO-optimized blog post,MARKETING
build a content calendar template,MARKETING
write product launch copy,MARKETING
create a brand messaging framework,MARKETING
generate ad copy for Google Ads,MARKETING
build an email drip campaign,MARKETING
write a press release template,MARKETING
create a customer persona document,MARKETING
generate landing page copy,MARKETING
build a competitive analysis report,MARKETING
write newsletter content,MARKETING
create a marketing funnel strategy,MARKETING
generate A/B test plan for campaigns,MARKETING
build a social media posting schedule,MARKETING
write influencer outreach templates,MARKETING
create a content distribution plan,MARKETING
hello how are you,GENERAL
what can you help me with,GENERAL
tell me about yourself,GENERAL
what are your capabilities,GENERAL
help me with something,GENERAL
I need assistance,GENERAL
good morning,GENERAL
thanks for the help,GENERAL
can you explain what this tool does,GENERAL
what domains do you cover,GENERAL
how does this engine work,GENERAL
show me available categories,GENERAL
I have a question,GENERAL
what prompts do you have,GENERAL
help me get started,GENERAL
what is this application,GENERAL
who built this tool,GENERAL
give me some examples,GENERAL
Create a design system with typography and color tokens for a fintech app.,UI_UX_DESIGN
How do I conduct a usability test for a mobile healthcare application?,UI_UX_DESIGN
Architect a responsive dashboard for a SaaS product focusing on accessibility.,UI_UX_DESIGN
Design a series of high-fidelity prototypes for an e-commerce checkout flow.,UI_UX_DESIGN
What are the best practices for mobile navigation and micro-interactions?,UI_UX_DESIGN
Develop a brand style guide including iconography and grid systems.,UI_UX_DESIGN
Perform a heuristic evaluation of our current landing page for conversion.,UI_UX_DESIGN
Design an inclusive user interface for elderly users with low vision.,UI_UX_DESIGN
Create a wireframe for a complex data visualization tool in dark mode.,UI_UX_DESIGN
How to build a scalable component library in Figma for a large dev team?,UI_UX_DESIGN
Design the user journey for a voice-activated smart home assistant.,UI_UX_DESIGN
What are the core principles of minimalist UI design for mobile apps?,UI_UX_DESIGN
Plan a multi-stage user research study for a new gaming social network.,UI_UX_DESIGN
Define the design language for a futuristic AI terminal interface.,UI_UX_DESIGN
Audit our design system for WCAG 2.1 Level AA compliance.,UI_UX_DESIGN
Perform a threat model for a cloud-hosted web application architecture.,CYBERSECURITY
How to conduct a security audit for a REST API using OWASP Top 10?,CYBERSECURITY
Design a secure authentication flow with MFA and session protection.,CYBERSECURITY
Write a penetration testing report for a network infrastructure audit.,CYBERSECURITY
How to prevent SQL injection and XSS in a Python Flask application?,CYBERSECURITY
Architect a Zero Trust network for a distributed remote workforce.,CYBERSECURITY
Respond to a simulated ransomware attack on an enterprise server.,CYBERSECURITY
Conduct a vulnerability assessment of our containerized microservices.,CYBERSECURITY
Secure our CI/CD pipeline against supply chain attacks.,CYBERSECURITY
Implement an automated secrets management system for production keys.,CYBERSECURITY
Design a SOC incident response plan for a high-traffic fintech startup.,CYBERSECURITY
How to audit our cloud infrastructure for IAM misconfigurations?,CYBERSECURITY
Perform a privacy impact assessment for GDPR compliance.,CYBERSECURITY
Build a secure logging and monitoring system for security event detection.,CYBERSECURITY
Automate our daily security scans for all public-facing endpoints.,CYBERSECURITY
Build a sentiment analysis pipeline for customer feedback in real-time.,DATA_SCIENCE
Design a recommendation engine for a streaming service using collaborative filtering.,DATA_SCIENCE
Perform exploratory data analysis (EDA) on a large retail dataset.,DATA_SCIENCE
How to handle missing data and outliers in a predictive modeling task?,DATA_SCIENCE
Evaluate a random forest classifier using precision-recall curves.,DATA_SCIENCE
Implement a BERT-based model for named entity recognition (NER).,DATA_SCIENCE
Optimizing hyperparameters for a gradient boosting machine using Optuna.,DATA_SCIENCE
Create a data pipeline to ingest streaming data from Kafka into Snowflake.,DATA_SCIENCE
Build an anomaly detection model for credit card fraud detection.,DATA_SCIENCE
How to deploy a machine learning model as a scalable microservice?,DATA_SCIENCE
Perform time-series forecasting for energy consumption with Prophet.,DATA_SCIENCE
Explain the predictions of a complex neural network using SHAP values.,DATA_SCIENCE
Design an A/B test framework to measure the impact of a new feature.,DATA_SCIENCE
Automate the feature engineering process for a credit scoring model.,DATA_SCIENCE
Build a text summarization tool for legal documents using LLMs.,DATA_SCIENCE
Create a detailed project roadmap for a multi-quarter product launch.,PROJECT_MANAGEMENT
Facilitate an agile sprint retrospective and identify actionable improvements.,PROJECT_MANAGEMENT
Design a stakeholder communication plan for a complex digital transformation.,PROJECT_MANAGEMENT
How to manage scope creep in a fixed-price software development project?,PROJECT_MANAGEMENT
Perform a risk assessment and mitigation plan for a global infrastructure project.,PROJECT_MANAGEMENT
Optimize our team's resource allocation using a Jira-based capacity model.,PROJECT_MANAGEMENT
Lead a cross-functional team through a product discovery workshop.,PROJECT_MANAGEMENT
Develop a KPIs dashboard to track project health and team velocity.,PROJECT_MANAGEMENT
How to handle conflict and misalignment between engineering and product teams?,PROJECT_MANAGEMENT
Design a change management strategy for a company-wide tool migration.,PROJECT_MANAGEMENT
Plan and execute a high-stakes leadership offsite for strategic planning.,PROJECT_MANAGEMENT
Build a RACI matrix for a complex multi-vendor integration project.,PROJECT_MANAGEMENT
How to prioritize a product backlog using the RICE scoring method?,PROJECT_MANAGEMENT
Manage the vendor selection process for a new cloud service provider.,PROJECT_MANAGEMENT
Develop a business case and ROI analysis for a new R&D initiative.,PROJECT_MANAGEMENT
Write a series of noir detective short stories set in a cyber-punk city.,WRITING_CREATIVE
Develop a rich world-building guide for a new epic fantasy novel.,WRITING_CREATIVE
Write a compelling script for a 30-second commercial for a luxury brand.,WRITING_CREATIVE
"How to create complex, multi-dimensional characters for a novel?",WRITING_CREATIVE
Compose a series of haikus about the changing of the seasons.,WRITING_CREATIVE
Write a persuasive long-form essay about the future of human-AI collaboration.,WRITING_CREATIVE
Design a branching narrative for a text-based adventure game.,WRITING_CREATIVE
Write a series of high-converting landing page headlines for a SaaS product.,WRITING_CREATIVE
Develop a brand voice and tone guide for a disruptive tech startup.,WRITING_CREATIVE
Write a moving eulogy that celebrates a life well-lived.,WRITING_CREATIVE
Create a series of children's bedtime stories about space exploration.,WRITING_CREATIVE
Write a dramatic one-act play focusing on a family dinner confrontation.,WRITING_CREATIVE
Compose a set of professional song lyrics in the style of 80s synth-pop.,WRITING_CREATIVE
How to use sensory details to make your creative writing more immersive?,WRITING_CREATIVE
Draft a collection of micro-fiction stories with exactly 50 words each.,WRITING_CREATIVE
Create a design system focusing on dark mode and accessibility for a crypto terminal.,UI_UX_DESIGN
Design a user interface for a smart home dashboard with complex device controls.,UI_UX_DESIGN
How to design a mobile navigation system for an app with 50+ categories?,UI_UX_DESIGN
Audit our existing UI for color contrast and font legibility issues.,UI_UX_DESIGN
Create a series of micro-animations for a loading state and success feedback.,UI_UX_DESIGN
Design a landing page for a premium AI tool using glassmorphism aesthetics.,UI_UX_DESIGN
Conduct a card sorting exercise to optimize our website information architecture.,UI_UX_DESIGN
How to build a responsive data grid for tablet and mobile viewports?,UI_UX_DESIGN
Design a checkout flow that minimizes friction and reduces cart abandonment.,UI_UX_DESIGN
Create a set of high-quality vector icons for a cybersecurity dashboard.,UI_UX_DESIGN
Set up an automated vulnerability scanning pipeline using GitHub Actions.,CYBERSECURITY
Design a secure cloud architecture on AWS using VPCs and Security Groups.,CYBERSECURITY
